Order,Type,Display Mode,Aspect Ratio,Refresh Rate,V-sync,Multisampling,Anisotropic Filtering,TAA,Shader Detail,Texture Detail,Reflections,Screen Space Reflections,Shadows,Night Lighting,Ambient Occlusion,Advanced Ambient Occlusion,Particles,Advanced Blending,Weather,Crowd,Cloth,Mirrors,Vehicle Details,Track,Object,Trees,Ground Cover,Skidmarks,Motion Blur,God Rays,Chromatic Aberration,Bloom,Lens Flares,Light Streaks,Lens Dust
1,Option 1,Windowed,Automatic,,Off,Off,Off,Off,Low,Low,Low,Off,Off,Off,Off,Off,Off,Off,Low,Off,Off,Off,Ultra Low,Low,Low,Ultra Low,Off,Off,Off,Off,Off,Off,Off,Off,Off
2,Option 2,Fullscreen,4:3,,On,CMAA,2x,On,High,Medium,Medium,Replay Mode,Ultra Low,Low,Ultra Low,On,Low,On,High,Low,Low,Low,Low,Medium,Medium,Medium,Low,On,Replay Mode,Replay Mode,Replay Mode,Replay Mode,Replay Mode,Replay Mode,On
3,Option 3,Windowed Borderless,5:3,,,MSAA 2x,4x,,,High,High,On,Low,Medium,Low,,Medium,,,Medium,High,Medium,Medium,High,High,High,Medium,,On,On,On,On,On,On,
4,Option 4,,5:4,,,MSAA 4x,8x,,,Ultra,Ultra,,Medium,High,Medium,,High,,,High,,High,High,Ultra,Ultra,Ultra,High,,,,,,,,
5,Option 5,,14:10,,,MSAA 8x,16x,,,,,,High,Ultra,High,,Ultra,,,Ultra,,,Ultra,,,,,,,,,,,,
6,Option 6,,16:9,,,EQAA 2f4x,,,,,,,Ultra,,Ultra,,,,,,,,,,,,,,,,,,,,
7,Option 7,,16:10,,,EQAA 4f8x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Option 8,,21:9,,,EQAA 4f16x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Option 9,,,,,EQAA 8f16x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Restart Required,,,,,FALSE,,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,FALSE,,,,,,,,,,,,,
