Order,Type,DirectX,Display Mode,Vsync,VSync Interval,Frame Rate Limit,Maximum FPS,Anti-Aliasing,Dynamic Resolution,Dynamic Resolution Target FPS,Dynamic Resolution Profile,Dynamic Resolution Minimum Scale,Anisotropic Filtering,HDR,Motion Blur Strength,Lighting Quality,Post Process,Shadows,Particles,Crowd,Mirrors,Ambient Occlusion,Screen Space Reflections,Texture Streaming,Vehicle Reflections,Weather Effects,Ground Cover,Skidmarks,SSRT Shadows,Asynchronous Compute
1,Option 1,DirectX 11,Windowed,Off,Auto,Off,120 (Default),Off,Off,Auto,Aggressive,50 (Min),Off,Off,0% (Min),Low,Low,Ultra Low,Off,Low,Low,Off,Off,Ultra Low,Ultra Low,Low,Low,Off,Off,Off
2,Option 2,DirectX 12,Fullscreen,On,1,On,30 (Min),CMAA2,On,30,Balanced,100 (Max),2x,,100% (Max),Medium,Medium,Low,Low,Medium,High,On,Medium,Low,Low,Medium,Medium,Low,On,On
3,Option 3,,Windowed (Fullscreen),,2,,250 (Max),TAA Checkerboard,,40,Lazy,Step: 1,4x,,Step: 5%,High,High,Medium,Medium,High,Ultra High,HBAO+,High,Medium,Medium,High,High,High,,
4,Option 4,,,,,,Step: 1,TAA,,60,,,8x,,,Ultra High,,High,High,Ultra High,,ASSAO,Ultra High,High,High,Ultra High,Ultra High,,,
5,Option 5,,,,,,,TAA with FidelityFX Upscaling,,120,,,16x,,,,,Ultra High,,,,,,Ultra High,Ultra High,,,,,
6,Option 6,,,,,,,TAA with FidelityFX Sharpening,,144,,,,,,,,,,,,,,,,,,,,
7,Restart Required,TRUE,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
8,Preset - Ultra Low,,,,,,,,,,,,,,,Low,Low,Ultra Low,Off,Low,Low,Off,Off,Ultra Low,Ultra Low,Medium,Low,Off,Off,On
9,Preset - Low,,,,,,,,,,,,,,,Low,Low,Low,Low,Low,Low,Off,Off,Low,Low,Medium,Low,Off,Off,On
10,Preset - Medium,,,,,,,,,,,,,,,Medium,Medium,Medium,Medium,Medium,Low,Off,Medium,Medium,Medium,Medium,Medium,Low,Off,On
11,Preset - High,,,,,,,,,,,,,,,High,High,High,High,High,High,On,High,High,High,High,High,High,Off,On
12,Preset - Ultra High,,,,,,,,,,,,,,,Ultra High,High,Ultra High,High,Ultra High,Ultra High,ASSAO,Ultra High,Ultra High,Ultra High,Ultra High,Ultra High,High,Off,On
