Order,Type,API,Window Mode,Enable V-Sync,Rescaling Filter,FidelityFX CAS,Variable Rate Shading,Field of View,Max FPS,CPU Speed,CPU Speed/No Dynamic Lighting,CPU Speed/Max Corpses,CPU Speed/Max Debris,CPU Speed/Max Debris Per Model,CPU Speed/Enable Dynamic Decals,CPU Speed/Disable Ragdoll Deaths,CPU Speed/Simple Character Destruction,CPU Speed/Rendering Distance,CPU Speed/Dynamic Shadows Distance,CPU Speed/Debris Shadow Casting,CPU Speed/Mirror Reflections,CPU Speed/Reflections Detail,CPU Speed/Reflections Bias,CPU Speed/Max Active Sounds,GPU Speed,GPU Speed/Max 3D Rendering MPix,GPU Speed/MSAA,GPU Speed/Transparency AA,GPU Speed/SSAA,GPU Speed/FXAA,GPU Speed/Texture Fitlering,GPU Speed/Anisotropic Filtering,GPU Speed/Parallax Mapping,GPU Speed/Parallaxing Quality,GPU Speed/Ambient Occlusion,GPU Speed/Screen Space Effects Precision,GPU Speed/Fast Lights,GPU Speed/Rendering LOD Bias,GPU Speed/Allow Refractions,GPU Speed/Max Shadow Size,GPU Speed/Soft Shadows,GPU Speed/Shadow Dithering Radius,GPU Speed/Shadow Trilinear Dithering,GPU Speed/Shadow Trilinear Span,GPU Speed/Ground Casts Shadows,GPU Speed/Distant Plant Shadows,GPU Speed/Bloom,GPU Speed/Zoom Blur,GPU Speed/Light Streaks,GPU Speed/Sharpen Streaks,GPU Speed/Heat Shimmer,GPU Speed/Depth of Field,GPU Speed/Motion Blur,GPU Speed/Channel Offset,GPU Speed/Particles Density,GPU Speed/Lens Flare Quality,GPU Speed/High Quality Trees,GPU Speed/Tree Rendering Distance,GPU Speed/Render Crumbs,GPU Speed/Grass Density,GPU Speed/Crumbs Density,GPU Speed/Ground Update Speed,GPU Speed/Ground Update Speed (Action),GPU Memory,GPU Memory/Ground Quality,GPU Memory/Ground Cache Capacity,GPU Memory/Textures Resolution,GPU Memory/Texture Quality,GPU Memory/Lightmaps Resolution,GPU Memory/Streaming Buffer Size
1,Option 1,Direct3D 11,Borderless,Off,Point-Sampling,Off,None,75.00 (Default),25,Lowest,Off,0 (Min),Lowest,Lowest,Off,Off,Off,0 (Min),0 (Min),Off,Off,Lowest,0 (Min),0 (Min),Lowest,1 (HD 720p),None,None,None,None,Bilinear,None,None,Low,None,Low,Off,0 (Min),Off,Lowest,Off,0 (Min),Off,0 (Min),Off,High,None,None,None,Off,Off,Off,Off,Off,0 (Min),None,Off,512 (Min),Everything,0 (Min),0 (Min),0 (Min),0 (Min),Lowest,Lowest,Default,Low,Original,Low,Lowest
2,Option 2,Direct3D 12,Fullscreen,On,Bilinear,On,Particles,0.60 (Step),30,Low,On,10 (Max),Low,Low,On,On,On,6 (Max),15 (Max),On,On,Low,6 (Max),10 (Max),Low,1.5 (900p),Low (2x),Sharp,Low (2x),Low,Trilinear,Low (2x),Fast,Optimal,Low,Optimal,On,6 (Max),On,Low,On,5 (Max),On,5 (Max),On,Normal,Optimal,Low,Low,On,On,On,On,On,5 (Max),Corona Only,On,8192 (Max),Grass Only,8 (Max),8 (Max),9 (Max),9 (Max),Low,Low,Ultra,Medium,Reduced,Medium,Low
3,Option 3,Vulkan,Windowed,,Bicubic,,Scene,60.00 (Min),60,Medium,,1 (Step),Medium,Medium,,,,1 (Step),1 (Step),,,Optimal,1 (Step),1 (Step),Medium,2 (FHD 1080p),Medium (4x),Smooth,High (4x),Medium,,Medium (4x),Optimal,High,Medium,High,,1 (Step),,Medium,,1 (Step),,1 (Step),,Low,High,Optimal,Optimal,,,,,,1 (Step),Corona and Reflections,,512 (Step),,1 (Step),1 (Step),1 (Step),1 (Step),Medium,Medium,,High,,High,Medium
4,Option 4,,,,Sharpen-Bicubic,,Full,120.00 (Max),90,High,,,High,High,,,,,,,,High,,,High,3,High (8x),,,High,,High (8x),Nice,,High,,,,,High,,,,,,,,High,High,,,,,,,"Corona, Reflections, and Glare",,,,,,,,High,High,,Ultra,,,High
5,Option 5,,,,Lanczos,,,,120,Ultra,,,Ultra,Ultra,,,,,,,,Ultra,,,Ultra,4 (QHD 1440p),,,,Ultra,,Ultra (16x),,,Ultra,,,,,Ultra,,,,,,,,Ultra,Ultra,,,,,,,,,,,,,,,Ultra,Ultra,,,,,Ultra
6,Option 6,,,,FidelityFX CAS,,,,144,,,,,,,,,,,,,,,,,6 (1800p),,,,,,,,,,,,,,Maximum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Option 7,,,,,,,,Unlimited,,,,,,,,,,,,,,,,,8 (4k2160p),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Option 8,,,,,,,,,,,,,,,,,,,,,,,,,Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Review Settings,Vulkan,Borderless,Off,,Off,,90.00,Unlimited,Ultra,Off,10,Ultra,High,On,Off,Off,5,14,On,On,High,4,5,High,3,Medium (4x),Sharp,None,High,Bilinear,High (8x),Optimal,Low,High,Optimal,On,4.5,On,High,On,3,Off,3,Off,Normal,Optimal,None,Medium,On,On,Off,Off,On,5,"Corona, Reflections, and Glare",Off,2048.00,Everything,5,8,5,1,High,High,Default,High,Original,Medium,High
10,Low+,,,,FidelityFX CAS,,,,,Ultra,Off,10,Ultra,Ultra,On,Off,Off,5,14,On,On,High,4,5,Low,1.5 (900p),Medium (4x),Sharp,None,None,Bilinear,Ultra (16x),None,Low,Low,Optimal,On,2,Off,Low,Off,4,On,1,Off,Normal,Optimal,Low,Low,Off,Off,Off,On,Off,3,Corona and Reflections,Off,1024,Everything,5,8,2,1,High,High,Default,High,Original,Medium,High
