Order,Type,DirectX 12,Anti-Aliasing,DLSS,Texture Quality,Texture Filtering,Shadow Quality,Ray Traced Shadow Quality,Ambient Occlusion,Depth of Field,Level of Detail,Tessellation,Bloom,Motion Blur,Screen Space Reflections,Screen Space Contact Shadows,Pure Hair,Volumetric Lighting,Lens Flares,Screen Effects
1,Option 1,False,Off,Off,Low,Trilinear,Off,Off,Off,Off,Lowest,Off,Off,Off,Off,Off,Low,Off,Off,Off
2,Option 2,True,SMAA,Medium,Normal,2x Anisotropic,Low,Medium,BTAO,Normal,Low,On,On,On,On,Normal,Normal,On,On,On
3,Option 3,,TAA,High,High,4x Anisotropic,Medium,High,HBAO+,High,Normal,,,,,High,,,,
4,Option 4,,SMAA T2x,Ultra,Ultra,8x Anisotropic,High,Ultra,,,High,,,,,,,,,
5,Option 5,,SMAA 4x,,,16x Anisotropic,Ultra,,,,Ultra,,,,,,,,,
6,Preset - Lowest,,,,Low,Trilinear,Off,Off,Off,Off,Lowest,Off,Off,Off,Off,Off,Low,Off,,
7,Preset - Low,,,,Low,Trilinear,Low,Off,Off,Off,Low,Off,Off,Off,Off,Off,Low,On,,
8,Preset - Medium,,,,Normal,2x Anisotropic,Low,Off,BTAO,Normal,Normal,Off,On,On,On,Off,Normal,On,,
9,Preset - High,,,,High,4x Anisotropic,Normal,Off,BTAO,Normal,Normal,On,On,On,On,Off,Normal,On,,
10,Preset - Highest,,,,Ultra,8x Anisotropic,High,Off,HBAO+,High,High,On,On,On,On,Normal,Normal,On,,
11,Restart Required,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Review Settings,True,SMAA 4x,,Ultra,16x Anisotropic,Ultra,,HBAO+,Off,Ultra,,On,Off,On,High,Normal,,On,
13,Minimum Acceptable,,SMAA/None,,Low,2x Anisotropic,Low,Medium/Off,BTAO,Off,Normal,Off,Off,Off,Off,Off,Low,Off,Off,Off
14,Minimum Acceptable - Notes,,"All options do soften detail, compared to None, but all methods also do a good job addressing aliasing too, with some doing better than others",,"Low but go to Normal if you can

Low textures in City look okay, except for ground
Normal looks perfectly acceptable at 1152","2x Anisotropic because there is a benefit to having it over Trilinear, but Trilinear isn't horrible",You really do want shadows on,"Medium

In some interior locations at least, Medium has a clear and significant impact. Outside this is not so much the case, likely because it is at High when the shadows from the sunlight are ray traced","it does help visually, gives more character to the environment. Can get away with it being off, but I would prefer it on","always a personal choice, so Off is generally the minimum","Normal because of how it transitions.
Lowest is visually acceptable, but the pop-in is too apparent, as is Low

In at least one location though, Normal has too close a transition for how it interacts with shadows","Don't need it on
Purely personal choice

Screenshot Difference
You'll notice it in screenshots, doubt you'll notice it in gameplay",Always have the option to turn it off and you can,"Personal choice, can always be off","Off because it isn't really necessary
It can have a significant impact though","Off because not strictly needed
perfectly acceptable","Low is the lowest option, so yeah","The impact can be very apparent, so On if you can, but is not necessary","Don't need it on
Purely personal choice","Don't need it on
Purely personal choice"
15,Maximum Acceptable,,SMAA T2x,,High,2x Anisotropic,Normal,High,HBAO+,High,High,On,On,On,On,Normal,Normal,On,Off,On
