Order,Type,API,Display Mode,VSync,Maximum Frames Per Second,DLSS Frame Generation,NVIDIA Reflex Low Latency,Hardware Cursor,Ray Tracing,RT Global Illumination,RT Reflections,RT Shadows,RT Ambient Occlusion,Anti-Aliasing,FSR Quality,DLSS Quality,XESS Quality,Dynamic Resolution Scaling,Sharpening,Screen Space Ambient Occlusion,Screen Space Reflections,Motion Blur,Motion Blur Intensity,Blur,Bloom,Depth of Field,Chromatic Aberration,Vignetting,Light Shafts,Camera Lens Effects,NVIDIA HairWorks,NVIDIA HairWorks AA,NVIDIA HairWorks Preset,Number of Background Characters,Shadow Quality,Terrain Quality,Water Quality,Foliage Visibility Range,Grass Density,Texture Quality,Detail Level
1,Option 1,DirectX 11,Windowed,Off,Unlimited,Off,Off,Off,Off,Performance,Off,Off,Off,Off,Auto,Auto,Auto,Off,Off,Off,Low,Off,10 (Default),Off,Off,Off,Off,Off,Off,Off,Off,0,Low,Low,Low,Low,Low,Low,Low,Low,Low
2,Option 2,DirectX 12,Borderless Window,On,30,On,On,On,On,Quality,On,On,On,FXAA,Quality,Quality,Ultra Quality,On,Low,SSAO,Hgh,On,1 (Minimum,On,On,On,On,On,On,On,Geralt,2,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
3,Option 3,,Fullscreen,,60,,On + Boost,,,,,,,TAAU,Balanced,Balanced,Quality,,High,HBAO+,,,10 (Maximum),,,,,,,,On,4,,High,High,High,High,High,High,High,High
4,Option 4,,,,75,,,,,,,,,FSR 2,Performance,Performance,Balanced,,,,,,1 (Step),,,,,,,,,8,,Ultra,Ultra,Ultra,Ultra,Ultra,Ultra,Ultra,Ultra
5,Option 5,,,,90,,,,,,,,,DLSS,Ultra Performance,Ultra Performance,Performance,,,,,,,,,,,,,,,,,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+
6,Option 6,,,,120,,,,,,,,,XESS,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Option 7,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Preset - Low,,,,,,,,Off,Off,Off,Off,Off,,,,,,,SSAO,,,,,,,,,,,Off,0,Low,Low,Low,Low,Low,Low,Low,Low,Low
9,Preset - Medium,,,,,,,,Off,Off,Off,Off,Off,,,,,,,SSAO,,,,,,,,,,,Off,0,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium
10,Preset - High,,,,,,,,Off,Off,Off,Off,Off,,,,,,,SSAO,,,,,,,,,,,Geralt,4,High,High,High,High,High,High,High,High,High
11,Preset - Ultra,,,,,,,,Off,Off,Off,Off,Off,,,,,,,HBAO+,,,,,,,,,,,On,4,High,Ultra,Ultra,Ultra,Ultra,Ultra,Ultra,Ultra,Ultra
12,Preset - Ultra+,,,,,,,,Off,Off,Off,Off,Off,,,,,,,HBAO+,,,,,,,,,,,On,8,High,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+
13,Preset - RT,,,,,,,,On,Performance,Off,Off,Off,,,,,,,HBAO+,,,,,,,,,,,On,8,High,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+
14,Preset - RT Ultra,,,,,,,,On,Quality,On,On,On,,,,,,,,,,,,,,,,,,On,8,High,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+,Ultra+
15,Minimum Acceptable,,,,,,,,Off,Performance,Off,Off,Off,TAAU,Performance,Balanced,,,Off,Off,Low,,,,,,,,,,Off,0,Low,Low,Low,,Low,Low,Low,Medium,
16,Minimum Acceptable - Notes,,,,,,,,,do not need it on,"While the RT reflections are better by showing things that are outside of screen space, so a definite win there, I am doubtful of their accuracy in other situations.
In one place the reflections really brightened an area, but I do not believe it should have been so brightened. It was an area of marsh-grass, so reasonably dense that was suddenly well illuminated as though they were not casting shadows, and there were clear and sharp reflections off of the water to illuminate some of these grass blades, again looking completely unnatural for such a dim, soft-lit day.","RT does add shadows for grass, but this can be acheived without RT so I'm not willing to give it to RT as a clear win.",,"FXAA didn't do better than Off
With dynamic resolution disabled, I can't say sharpening is required for TAAU, so that is certainly the minimum without FSR/DLSS

With FSR Performance, there is no temporal instability worth speaking of (had a single pixel unstable) while DLSS Performance had obvious distortion, like heat distortion. So for that option at 1920x1080, FSR wins based on stability.","Performance legitimately impresses me as I cannot spot any artifacts or distortions from the lower resolution being upscaled.
DLSS even at Balanced had temporal stability issues, so this is really impressive.
Plus, this is approaching double performance (from 65 to 115 FPS)","Balanced does have some temporal instability that is visible, but I can understand tolerating it for the performance you want.

Quality is free of this instability, from what I saw while testing it. That is what I would recommend, but can understand going to Balanced, if necessary.
Testing done at 1920x1080",,,Off is minimum because you don't really need it,,,,,,,,,,,,Off because you don't need it,0 because can't tell the difference,Low because can't tell the difference,"Low because I doubt it matters enough, from my testing at least, to warrant a higher minimum","Low because the shadows still looked good
I cannot spot a visual difference between Low through Ultra, so technically any of those may be acceptable.","I'm not spotting a difference between Low and Ultra+, so just skipping.",Low is the minimum because it looks good and I can't tell you it's different from any other option,"Low is the minimum because the range is actually pretty good, but there are clear improvements as you go up.","Low is acceptable, but if you can do Medium, try","Medium is the minimum acceptable. If you have to go lower, Low is feasible, but really try to do Medium.","I'm not sure what it's controlling, so can't test and compare."
